,Name,cid,SMILES,molecular_formula,sdf
0,dehydrocarnitine,439773.0,C[N+](C)(C)CC(=O)CC(=O)O,C7H14NO3+,439773.sdf
1,beta-ketoglutarate,68328.0,C(C(=O)CC(=O)O)C(=O)O,C5H6O5,68328.sdf
2,(S)-KAH,440077.0,C[C@@H](CC(=O)CC(=O)O)N,C6H11NO3,440077.sdf
3,beta-ketoadipate,93.0,C(CC(=O)O)C(=O)CC(=O)O,C6H8O5,93.sdf
4,"3,5-dioxohexanoate",5459844.0,CC(=O)CC(=O)CC(=O)O,C6H8O4,5459844.sdf
5,beta-ketohexanoate,439658.0,CCCC(=O)CC(=O)O,C6H10O3,439658.sdf
6,beta-ketoisocaproate,440024.0,CC(C)C(=O)CC(=O)O,C6H10O3,440024.sdf
7,beta-ketododecanoate,439717.0,CCCCCCCCCC(=O)CC(=O)O,C12H22O3,439717.sdf
8,5-hydroxy-beta-ketohexanoate,22023099.0,CC(CC(=O)CC(=O)O)O,C6H10O4,22023099.sdf
9,beta-ketopentanoate,439684.0,CCC(=O)CC(=O)O,C5H8O3,439684.sdf
10,benzoylacetate,97045.0,C1=CC=C(C=C1)C(=O)CC(=O)O,C9H8O3,97045.sdf
11,(E)-beta-ketohex-4-enoate,54058734.0,CC=CC(=O)CC(=O)O,C6H8O3,54058734.sdf
12,beta-ketooctanoate,5282982.0,CCCCCCCC(=O)CC(=O)O,C10H18O3,5282982.sdf
13,7-methyl-beta-ketooct-6-enoate,13093115.0,CC(=CCCC(=O)CC(=O)O)C,C9H14O3,13093115.sdf
14,6-acetamido-beta-ketohexanoate,440086.0,CC(=O)NCCCC(=O)CC(=O)O,C8H13NO4,440086.sdf
15,2-formamidobenzoylacetate,440807.0,C1=CC=C(C(=C1)C(=O)CC(=O)O)NC=O,C10H9NO4,440807.sdf
16,4-hydroxybenzoylacetate,14496584.0,C1=CC(=CC=C1C(=O)CC(=O)O)O,C9H8O4,14496584.sdf
